正面,背面
Es una calle muy vieja del barrio antiguo.,这是老城区里的一条古老街道。
Es un museo muy famoso en todo el país.,这是全国都很有名的博物馆。
Es una plaza muy famosa entre los turistas.,这广场在游客里名气特别大。
La sala del museo está llena de gente.,博物馆的展厅里挤满了人。
Vivimos en un barrio lleno de tiendas y cafeterías.,我们住在一个满是商店和咖啡馆的街区。
Es un edificio muy moderno al lado del río.,这是一栋在河边很现代的建筑。
Es una zona muy moderna de la ciudad.,这是城市里一个很现代的区域。
Es un asunto personal que comento en la entrevista.,这是我在面试里提到的个人事情。
"Es un currículo muy académico, lleno de publicaciones.",这是一份很学术的简历，里面有很多发表文章。
Es muy profesional organizando las excursiones.,他在组织郊游方面很专业。
Es un correo electrónico que envío con mi currículum adjunto.,这是我发出去的那封邮件，简历挂在附件里。
Envío mi currículum vitae a varias empresas antes de viajar.,出发前我把个人简历投给了好几家公司。
La mochila para la excursión pesa cinco kilos.,我的郊游背包重五公斤。
La maleta me pesa mucho en el kilómetro final.,走到最后一程路，箱子沉得我拖不动。
Le pesa haber cancelado la excursión.,郊游取消了，他心里一直过意不去。
¿Cuánto tiempo tardaste en ir de casa al punto de encuentro?,你从家到集合点花了多长时间？
Vamos a tardar dos horas en hacer el recorrido.,我们要用两小时走完整个路线。
¿A quién tengo que enviar estos datos del viaje?,我得把这次旅行的这些资料寄给谁？
"Si quieres, te lo envío por fax o por correo electrónico.",如果你愿意，我用传真或邮件发给你。
Salgo de casa a las ocho para la excursión.,我八点从家出发去参加郊游。
Salimos a dar un paseo por el barrio antiguo.,我们出去在老城区散步一圈。
Visito la catedral y luego el museo de arte.,我先参观主教堂，然后去艺术博物馆。
Visito a mi abuela después de la excursión.,郊游结束后我去看奶奶。
Recibió el premio Nobel y sus amigos lo felicitaron después de muchos años sin verlo.,他拿了诺贝尔奖，多年没见面的朋友都赶来向他道贺。
Voy al colegio donde estudiamos juntos hace años.,我去我们多年前一起上学的那所学校。
Recordamos el esplendor de nuestra juventud cuando nos reencontramos.,重逢时聊起年轻时候那段风光日子。
Obtuvo el premio y me llamó después de muchos años sin hablar.,他拿了奖，好多年没联系了，又专门给我打来电话。
Tienen un buen matrimonio y me invitaron a cenar después de tanto tiempo.,夫妻俩感情挺好，许久没见，这回还请我吃饭。
El matrimonio llegó tarde a la reunión de antiguos alumnos.,这对夫妇来参加校友会迟到了。
El sábado quedamos para vernos después de diez años.,约好了周六见，整整十年没见过了。
Tengo buena nota y se lo cuento cuando por fin nos vemos.,我考得不错，难得碰上一面，当面跟他报喜。
Hablamos de la guerra civil española como parte de su tesis.,我们聊起西班牙内战，那是他论文里的一部分。
Tuvieron una discusión hace años y ahora se reconcilian.,他们多年前吵过一架，现在终于和好了。
Estudio literatura y comento mis autores favoritos cuando nos reencontramos.,我学文学，重逢时和他聊起最喜欢的作家。
Me gusta la poesía que leíamos juntos en la universidad.,我喜欢我们大学时代一起读过的那些诗。
En esa época compartíamos piso y casi nos veíamos cada día.,在那个时期我们合租房子，几乎每天都见面。
Esta obra es famosa y fue tema de nuestras conversaciones.,这部作品很有名，也是当年我们常聊的话题。
"La realidad es dura, pero me alegra volver a verte.",现实很残酷，但再次见到你让我很开心。
Viajo a Hispanoamérica y allí me reencuentro con un viejo amigo.,我去了西语美洲国家，在那里又遇见一位老朋友。
Escribo mi tesis y le pido que la revise después de tantos años.,我在写论文，时隔多年又请他帮我看看。
Nos damos la mano y luego un abrazo después de tanto tiempo.,许久没见，我们先握手，随后紧紧拥抱了。
El doctorando en literatura presenta su tesis después de años de trabajo.,这位文学博士生经过多年努力后提交了论文。
La doctoranda en física invita a sus amigos al acto.,物理学女博士邀请朋友们来参加答辩。
El ser humano busca compañía.,人类都在寻找陪伴。
La naturaleza humana hace que queramos vernos de nuevo.,人性让我们总想再次见面。
Es muy creativo con las historias de nuestra época de estudiantes.,他在讲我们学生时代的故事时特别有创意。
Es muy creativa al recordar anécdotas del pasado.,她回忆过去趣事时很有创意。
Este libro está traducido a varias lenguas y todo el mundo lo conoce.,这本书被翻译成多种语言，因此全世界都认识他。
Su novela está traducida y la leo ahora.,她的小说已经被翻译了，我现在正在读。
Es una historia apasionante que me cuentas después de tantos años sin vernos.,这么多年没见，你讲的这个故事真精彩。
El niño escribe con la mano izquierda mientras su abuelo le mira.,小男孩用左手写字，爷爷在旁边看着。
Se ve un museo en el lado izquierdo de la calle donde quedamos.,在我们约好的那条街左侧可以看到一座博物馆。
El niño escribe con la mano derecha y firma la postal.,小男孩用右手写字还在明信片上签了名。
La línea es derecha y marca el camino a seguir.,那条直线标出了我们要走的路线。
Es la misma casa donde nos vimos por última vez.,这就是我们最后一次见面的那栋房子。
Lo hago yo mismo para que esté perfecto.,我亲自做，这样才放心。
Lo hago yo misma porque quiero ayudarte.,我亲自做，因为我想帮你。
Es la hermana mayor y hace mucho que no la veía.,她是姐姐，我已经很久没见到她了。
Es un producto natural que me recomendaste hace años.,这是你多年前推荐给我的天然产品。
Actúa de una forma muy natural cuando volvemos a vernos.,当我们再次见面时，她表现得非常自然。
Nací en Madrid y hacía años que no volvía.,我出生在马德里，很多年都没再回去。
Murió hace tiempo y hoy lo recordamos juntos.,他早就去世了，今天我们一起回忆他。
¿En qué año ingresaste en la universidad donde nos conocimos?,你是哪一年进入我们认识的那所大学的？
El muchacho ingresó en el ejército y dejó de venir al grupo.,这个男孩参军后就不再来我们这个小组了。
El señor fue al banco a ingresar en su cuenta el dinero del premio.,这位先生去银行把奖金存进账户里了。
Me traslado a Madrid y te escribo para que nos veamos pronto.,我要搬去马德里，写信给你是想尽快见面。
Se dedica a la literatura y viaja mucho a congresos donde nos volvimos a ver.,他从事文学工作，经常去各地参加会议，我们也是在一次会议上重逢的。
Obtuvo el premio Nobel y nos reunimos para celebrarlo.,他获得了诺贝尔奖，我们聚在一起庆祝。
"No exageres, no ha pasado tanto tiempo desde la última vez que nos vimos.",别夸张，上次见面也没过去那么久。
Sigo a mi amigo en las redes para saber de su vida.,我在社交网络上继续关注朋友的近况。
Sigue estudiando español y nos lo cuenta cuando nos vemos.,他还在学西语，见面时跟我们分享近况。
Me lavo el pelo temprano antes de salir de viaje.,出门旅行前，我一大早就洗头。
Me cepillo los dientes en el baño del hotel.,我在酒店的卫生间刷牙。
Hay un árbol en el jardín del hotel donde descansamos.,酒店的花园里有一棵树，我们在树下休息。
"El regreso es largo, pero recordamos todo lo que vimos.",回程很长，但我们一路回味这趟旅行看到的一切。
Conduzco un coche de alquiler para hacer el viaje.,我开一辆租来的车来完成这次旅行。
Me alojo en un hotel cerca de la playa.,我住在靠近海滩的酒店。
Hago el ejercicio de escribir sobre cómo fue el viaje.,我要写一篇作文，内容是这次旅行的经历。
El coche se paró en medio de la carretera durante el viaje.,旅途中汽车在公路中间突然停下了。
¡Buena suerte en tu viaje de regreso!,祝你回程一路顺利！
Recibí una multa por aparcar mal durante las vacaciones.,度假时因为乱停车我吃了一张罚单。
Vamos a la playa después de llegar al hotel.,到了酒店之后，我们就去海滩。
Me recibió con mucha cordialidad en el hotel de la costa.,海边酒店的接待人员非常热情地接待了我。
El policía nos ayuda cuando se avería el coche en la carretera.,汽车在公路上抛锚时，这位警察帮了我们。
La agente de policía nos indica cómo llegar al hotel.,这位女警察给我们指路，让我们找到酒店。
El decano habla con los estudiantes sobre sus estancias en el extranjero.,男院长和学生聊他们在国外的经历。
La decana habla con los estudiantes de sus viajes.,女院长和学生谈他们的旅行。
El muchacho corre por la playa durante las vacaciones.,度假时小伙子在海滩上跑步。
La muchacha corre para no perder el tren.,这个姑娘快步跑着，怕赶不上火车。
No hay nadie en casa cuando vuelvo del viaje.,我旅行回来时，家里一个人也没有。
El segundo día del viaje visitamos el museo.,旅行的第二天我们参观了博物馆。
"La segunda vez que viniste, ya conocías la ciudad.",你第二次来的时候已经很熟悉这座城市了。
Estoy muy contento de verte después de tantos años.,时隔多年再次见到你，我非常高兴。
Las chicas están molestas por haber esperado tanto en la estación.,女孩们不高兴在车站等了这么久。
Sé que algunos no están contentos conmigo porque llegué tarde.,我知道有些人对我不太满意，因为我迟到了。
La secretaria está muy contenta con sus nuevas vacaciones.,秘书对她新安排的假期很满意。
Estoy triste porque el viaje se terminó demasiado pronto.,旅行结束得太快了，我有点难过。
Me ducho en el hotel antes de salir a ver la ciudad.,我在酒店里洗个澡就出门看城市。
Desayuno en el hotel a las siete y media para salir temprano.,我在酒店七点半吃早餐，准备早点出发。
Me cepillo los dientes y cojo mi botella de agua.,我刷牙，然后拿上我的水瓶。
Caminamos a pie desde el hotel hasta la plaza.,我们从酒店步行到广场。
Voy a recoger a mi amigo en la estación a las diez.,我十点去火车站接我的朋友。
Averiaron el coche en plena carretera y tuvimos que esperar ayuda.,他们在公路上把车弄坏了，我们只能等救援。
El coche se averió a dos kilómetros del hotel y llamamos a una grúa.,车在距离酒店两公里处出故障了，我们叫了拖车。
El coche se paró en medio de la carretera con la lluvia y tuvimos que buscar un lugar seguro.,车在大雨中停在公路中央，我们只好找个安全的地方躲雨。
Me paré para comprar agua en una gasolinera.,我停车在加油站买瓶水。
"Deja de llorar, ya está todo bien.",别哭了，一切都会好起来的。
"Aparque aquí el coche, por favor.",请把车停在这里。
Aparco el coche delante del hotel y saco las maletas del coche.,我把车停在酒店门口，然后把行李取下来了。
Me acerqué al policía y le pregunté cómo llegar al hotel.,我走近警察问怎么去酒店。
La señora que se nos acercó era la recepcionista.,向我们走来的那位女士是前台接待。
Saludo a mis amigos en la entrada del museo.,我在博物馆入口和朋友打招呼。
Me alojo en un hotel cerca de la playa tres noches.,我在靠近海滩的酒店住了三晚。
Olvidé el pasaporte en la recepción cuando salí a comprar.,我出去买东西时把护照忘在前台了。
Le pregunto al recepcionista por el horario del desayuno.,我问前台早餐的时间。
Pregunto por la hora del tren a Valencia.,我打听去瓦伦西亚的火车几点。
Despierto a mi amigo para que no pierda el vuelo a las seis.,我叫醒了朋友别错过六点的航班。
Despierto de un sueño profundo cuando suena el despertador.,闹钟一响我从深睡里醒来。
El niño está llorando porque perdimos el autobús escolar.,小朋友在哭，因为我们错过了校车。
"Llorando, el pequeño pidió agua.",他一边哭一边要水喝。
Me maquillo un poco antes de ir a cenar con la familia en la plaza.,我在去广场和家人吃晚饭前简单化个妆。
Los habitantes de nuestro pueblo se saludan todos los días en la plaza.,我们村里的居民每天都会在广场互相打招呼。
Ese edificio era la escuela del barrio y olía a tiza.,那栋楼是我们街区的学校，粉笔味很浓。
El río quedaba cerca y en verano íbamos a refrescarnos.,那条河离得近，夏天我们都去那里消暑。
Tengo un recuerdo de mi infancia: el olor del pan recién hecho.,我对童年有记忆：刚出炉面包的味道。
"Antes de cenar, tengo muchos quehaceres: barrer y ayudar en casa.",吃晚饭前有很多家务：扫地，还得帮忙做事。
Cultivamos trigo en el campo y mi abuelo lo miraba al atardecer.,我们在田里种小麦，爷爷常在傍晚看着田地。
Cultivamos maíz en el campo para la cosecha de otoño.,我们在田里种玉米，为了秋天的收成。
En el río hay muchos peces y mi primo los pesca los domingos.,河里鱼很多，周日我表弟常去钓鱼。
Me gusta el pescado frito que hacía mi madre los domingos.,我喜欢周日妈妈做的炸鱼。
En la granja criamos animales domésticos: gallinas y conejos.,我们在农场养家畜：鸡和兔子。
Vivo en la montaña y de niño subía para ver el atardecer.,我住在山里，小时候会爬上去看日落。
La agricultura es importante allí porque la familia vive del campo.,那里的农业很重要，因为家里靠种地生活。
Cultivamos verduras en la tierra.,我们在土地上种蔬菜。
La tierra era tan fértil que los cultivos crecían rápido.,那片土地特别肥沃，长得很快。
Compré artesanía local en el mercadillo del pueblo y la guardé como recuerdo.,我在镇上的小集市买了当地手工艺品，还把它当纪念品收藏起来。
"Vivíamos en la pobreza, pero nunca faltó la sopa de mi abuela.",我们曾经生活贫穷，但祖母总会做汤给我们。
En la secundaria estudiaba informática en el aula de ordenadores.,我在中学的机房学计算机。
Sentí envidia cuando mi amigo trajo un móvil nuevo.,我朋友带了新手机时，我有点嫉妒。
La salida del autobús escolar era a las cinco; yo esperaba con mi mochila.,校车出发时间是五点，我背着书包等着。
Lavo la ropa los sábados y la tiendo al sol.,我周六洗衣服，把它晒在太阳下。
Compré ropa nueva para la excursión.,郊游那天我买了新衣服。
Tengo un recuerdo de mi infancia: jugar junto al río.,我对童年有记忆：在河边玩耍。
Mi infancia fue feliz aunque a veces faltaban cosas.,我的童年很幸福，虽然有时东西会不够。
Llevábamos una vida doméstica tranquila en casa de mis abuelos.,我们在外祖父母家过着平静的家庭生活。
En la secundaria estudiaba y luego ayudaba en casa antes de cenar.,上中学时我一边学习，一边晚饭前回家帮忙做事。
"Es un pueblo apartado, pero todos nos conocemos.",这是个偏僻的小镇，但大家都认识彼此。
Hago trabajo doméstico en casa: lavo platos y ordeno la cocina.,我在家做家务：洗碗，整理厨房。
"Mi profesora era muy severa con las tareas, pero nos ayudaba.",我的老师对作业很严厉，但也会帮我们。
La ropa está lavada y huele a jabón.,衣服已经洗好了，闻起来有肥皂味。
Ya tengo la ropa lavada para la escuela.,我已经有洗好的衣服准备上学了。
Mi hermano mayor me enseñó a pescar en el río.,我哥哥教我在河里钓鱼。
Más adelante conseguí un trabajo bien pagado y pude visitar a mi familia.,后来我找到了一份高薪工作，才能回去看家人。
En invierno nos faltaba comida.,冬天我们家总缺食物。
En la granja nos faltaba agua para regar.,在农场我们缺水浇地。
Faltan quince minutos para cenar con mi familia.,离跟家人吃晚饭还差十五分钟。
Falta una hora para la salida del autobús escolar.,校车出发还有一小时。
Logramos sobrevivir al invierno trabajando juntos en el barrio.,我们靠一起努力过冬，活了下来。
Lavo la ropa en la pila los sábados por la mañana.,我周六早上在水槽边洗衣服。
Corro hacia la escuela cuando suena la campana.,铃声一响我就往学校跑。
Pesqué un pez pequeño en el río el verano pasado.,去年夏天我在河里钓到一条小鱼。
¿Por qué no te dejaron salir a jugar después de la clase?,为什么课后不让你出去玩？
"¡Déjame volver a casa, por favor!",请让我回家吧！
Cultivamos trigo en otoño.,我们秋天种小麦。
Cultivo maíz detrás de casa con mi padre.,我和爸爸在家后面种玉米。
Regresé a casa cuando empezó a oscurecer.,天开始变黑的时候我回家了。
Regresamos del mercado con bolsas de pan.,我们从集市买面包带回来了。
"En el autobús de la excursión, ella busca un asiento junto a la ventana.",在去郊游的车上，她找了个靠窗的座位。
El teniente revisa a la gente antes del entrenamiento.,中尉在训练前检查大家。
El ejército organiza el campamento del mes de agosto.,军队在八月份组织营地。
Mi hermano cumplió el servicio militar y luego se quedó en la base.,我哥哥服完兵役后仍留在基地。
El servicio del hotel es muy rápido.,酒店服务很快。
"¿Dónde están los servicios, por favor?",请问洗手间在哪里？
Este mes ella coordina rutas en la agencia y prepara los formularios.,这个月她在旅行社负责安排路线，并准备相关表格。
No seas imbécil: sigue la disciplina y entrega el documento a tiempo.,别当傻瓜：遵守纪律，按时交文件。
Ella trabaja en la agencia de viajes y me responde cada semana.,她在旅行社工作，每周都会回复我。
Recibió instrucción militar para aprender a usar el equipo.,她接受了军事训练，学会了使用装备。
La máquina expendedora se averió y no pude sacar billetes.,售票机器坏了，我没能取票。
"Durante la mili, la disciplina es estricta y nadie llega tarde.",在兵役训练期间，纪律很严格，没人敢迟到。
Hizo la mili en una base cercana al pueblo y aprendió a obedecer.,她在离小镇不远的基地服过兵役，学会了服从。
Estoy muy ocupado revisando los horarios de los clientes.,我忙着核对客户的时间表。
Estoy muy ocupada con los papeles de la agencia.,她忙着旅行社的文件。
Estoy intranquilo porque la máquina no funciona y no sabemos qué hacer.,我不安，因为机器坏了，不知道怎么办。
Está intranquila porque perdió el billete.,她不安，因为丢了车票。
Se puso furioso cuando el autobús llegó tarde.,他生气，因为公交晚点。
Se puso furiosa cuando se confundieron sus turnos.,她很愤怒：值班安排搞错了。
"Fue una experiencia horrorosa en el campamento, con lluvia y barro.",露营地经历很糟：又下雨又很泥泞。
Fue una noche horrorosa para ella en el entrenamiento.,她在训练里度过了一个可怕的夜晚。
Tengo un trabajo fijo en la agencia de viajes.,我在旅行社有一份固定工作。
Tengo una silla fija en el aula de instrucción.,我在训练课的教室里有一把固定座位。
La instrucción militar es dura y ella la respeta cada día.,军事训练很辛苦，她每天都认真遵守。
Su padre es militar y la acompaña en la formación.,她父亲是军人，也会陪她参加训练。
Es un paisaje precioso al final de la excursión.,郊游结束时风景很美。
Tiene una casa preciosa en el barrio.,她住在很漂亮的社区房子里。
Escondo el billete en el bolsillo interior para que no se pierda.,我把车票藏在内侧口袋里，免得丢了。
Unos suben al autobús de la excursión mientras otros bajan para comprar agua.,有人上郊游大巴，有人下车去买水。
Sube a mi habitación y dime si tienes el documento.,上我房间来，告诉我你文件有没有带。
La temperatura va a seguir subiendo durante el entrenamiento.,训练期间气温还会继续上升。
"Gritó desde la ventana del tren: ""Aquí es la salida para el hotel"".",他从火车车窗喊：“这边是去酒店的出口”。
Odio la guerra; prefiero hablar y resolverlo con calma.,我憎恨战争；我更愿意冷静地沟通解决。
Siempre trato bien a los clientes de la agencia.,我总是善待旅行社的客户。
El informe trata de la disciplina militar durante la formación.,这份报告讲的是训练期间的军事纪律。
Trato de llegar puntual al almuerzo de hoy.,我尽量准时赶上今天的午饭。
Almuerzo con mis compañeros después de la instrucción militar.,军事训练结束后，我和同伴一起吃午饭。
"Para la fiebre de Antonio, el remedio fue el jarabe y reposar en casa.",针对安东尼奥的发烧，建议是服用糖浆并在家休息。
"Aun con fiebre, Antonio intenta sacar una sonrisa cuando el médico le habla.",就算在发烧，安东尼奥也会在医生跟他说话时努力挤出微笑。
"Hoy voy a la consulta del médico con fiebre, y espero mi turno en recepción.",我今天带着发烧去看医生，在前台等候叫号。
Recibí una llamada del médico para decir que podemos ir a la consulta por la tarde.,我接到医生的电话，说下午可以去看诊。
Dejé la pesca para otro día; con fiebre no puedo ni levantarme.,我把钓鱼改天了；发着烧连床都起不了。
La temperatura le sube a 39 y le doy antipirético siguiendo la indicación.,体温升到39度，我按医嘱给他退烧药。
El cantante del barrio vino a visitar el hospital cuando Antonio tenía fiebre.,那位街区歌手在安东尼奥发烧时来医院看望。
La cantante conocida también llamó para animarlo.,那位知名歌手也打电话鼓励他。
El pediatra de guardia es muy conocido en la zona y atiende rápido.,这片区值班儿科医生很有名，而且很快就能安排看诊。
Castigaron a Antonio en el trabajo temporal porque faltó por fiebre; no pudo seguir allí.,安东尼奥因为发烧缺勤，在那份临时工作中受到了处罚，无法继续在那里工作。
"Mientras descansaba, le pusieron una serie policíaca en el televisor.",他发烧躺着休息时，电视上放了侦探剧。
El mar se ve desde la ventana del hospital y eso lo calma.,从医院窗户能看到大海，这让他平静下来。
Me gusta la mar aunque esté enfermo.,生病时我也喜欢看海。
Contesto el cuestionario de síntomas antes de entrar a la consulta.,我在进入诊室前填写症状问卷。
Respondo al médico por WhatsApp con la evolución de la fiebre.,我通过WhatsApp把发烧的变化回复给医生。
Responde que Antonio debe descansar y beber agua.,他回答说安东尼奥需要休息并多喝水。
Le regalo a Antonio un termómetro digital y un vaso de agua.,我送给安东尼奥一个数字体温计和一杯水。
Mis padres me regalan una caja de pañuelos y jarabe.,我父母送给我一盒纸巾和糖浆药。
Hay un aviso en la puerta: no se permite fotografiar en la sala 3.,门口有通知：第3展厅禁止拍照。
No toques ese objeto; está a distancia y es muy delicado.,别碰那个东西，要保持距离，而且它很脆弱。
Sigue el letrero para encontrar la taquilla y el guardarropa.,跟着指示牌走，找到售票窗口和存衣处。
Dejo el abrigo en el guardarropa y cojo la ficha.,我把外套放到存衣处，然后拿走号码牌。
Te doy un consejo: empieza por la exposición principal para no hacer cola.,我给你个建议：先看主展厅，这样不会排太久队。
Hay descuento para estudiantes y lo aplican al comprar la entrada.,学生有优惠，买票时会直接给你打折。
¿Tienes carnet de estudiante? Te lo van a pedir en la taquilla.,你有学生证吗？售票窗口会让你出示学生证。
Llevo un bolso pequeño para no tener que dejar demasiadas cosas.,我背个小包，不想留太多东西在存衣处。
Quiero un refresco en la cafetería del museo después de ver la exposición.,看完展览后，我想在博物馆咖啡馆来一杯冷饮。
Voy a la exposición con mi audioguía para entender mejor las piezas.,我带着讲解器去看展览，以便更好地理解展品。
La escultura me impresionó; la vi de cerca dos veces.,那座雕塑太让我震撼了；我近距离看了两次。
Compro la entrada en la taquilla y muestro mi carnet.,我在售票窗口买票，并出示了学生证。
"Traigo la cámara de fotos, pero solo puedo usarla en las zonas permitidas.",我带着相机，但只能在允许拍摄的区域使用。
La orden del guardia fue clara: apaga el flash.,那位保安的指令很明确：关掉闪光灯。
Hay prohibición de filmar en la sala de antropología.,人类学展厅禁止摄像。
Estudio antropología y por eso me interesa esta sección.,我学人类学，所以对这一部分特别感兴趣。
No hay otra alternativa: dejamos el bolso grande en el guardarropa.,没有别的选择：大包只能寄存在存衣处。
Para mí es pura diversión aprender historia mirando las obras.,对我来说，看作品学历史就是纯粹的乐趣。
Esta exposición tiene mucha fama y hoy está llena de gente.,这个展览很有名，今天人很多。
El portero me indica dónde está el guardarropa.,门卫告诉我存衣处在哪里。
La portera vigila la entrada durante la mañana.,女看门人在早上守着入口。
El taquillero me ayuda a elegir la entrada con descuento.,售票员帮我选打折票。
Es un artista famoso y sus obras están en esta exposición.,他是一位很有名的艺术家，作品在这次展览里。
Es una artista conocida y vino hoy.,她是一位知名艺术家，今天来了。
El intelectual del museo me recomendó esta visita guiada.,博物馆里的那位知识分子推荐我参加这场导览。
No nos dejaron tocar los objetos; eran de vidrio.,他们不让我们摸那些展品；都是玻璃做的。
El niño sabe tocar el piano en la sala infantil.,孩子会在儿童展厅弹钢琴。
¿A quién le tocó explicar la obra 12 al grupo?,轮到谁给大家讲第12号作品？
Me tocó una pregunta fácil sobre la exposición.,我抽到一个关于展览的简单问题。
Tocó a la puerta del despacho del museo.,他敲了博物馆办公室的门。
Prohiben filmar en la sala de antropología; solo está permitido tomar fotos.,人类学展厅禁止摄像，只允许拍照。
Añado un comentario en el libro de visitas antes de irme.,我离开前在游客留言本上写下一条留言。
Disfruto de la exposición porque puedo aprender con calma.,我很享受这个展览，因为可以慢慢学。
En mi carta a la ONU pedí información sobre un programa cultural.,我在给联合国写的信里，询问了一个文化项目的资料。
En la carta te cuento que esta mañana visitamos el Palacio Imperial.,在信里我告诉你，我们早上参观了故宫。
En la carta escribo: fuimos al Templo del Cielo al atardecer.,在信里我写道：我们黄昏时去了天坛。
En la carta describo que la Gran Muralla es larga y subimos a una torre.,在信里我描写：长城很长，我们爬上了一座城楼。
En la carta menciono que la Ruta de la Seda une Asia y Europa.,在信里我提到：丝绸之路连接亚洲和欧洲。
En mi carta te cuento que viajé al Tíbet el verano pasado.,在我的信里我告诉你：我去年夏天去西藏旅行了。
En la carta uso un tono respetuoso para darte las gracias.,在信里我用恭敬的语气向你表达感谢。
En la carta practico caracteres chinos para explicar el significado del nombre.,在信里我练汉字，用来解释这个名字的含义。
Mis alumnos mandan un dibujito junto con la carta.,我的学生会在信旁边附上一张小画。
Este semestre estudio español y te lo cuento en la carta.,这个学期我学西班牙语，我在信里跟你说了。
Te envío en la carta ejercicios de fonética española.,我在信里发给你西班牙语语音练习。
En la carta te explico que la escritura china tiene una historia larga.,在信里我跟你说，汉字有很长的历史。
En la carta te cuento que estudio antropología por curiosidad.,在信里我告诉你：我出于好奇在学人类学。
Busco un amigo hispanohablante para que me corrija la carta.,我想找一个西语母语的朋友帮我改这封信。
El profesor me ha suspendido en gramática.,老师让我语法考试不及格了。
Estoy suspenso y practico.,我没及格，所以继续练习。
"Para ti, esta respuesta es fácil; para mí, no.",对你来说这个回答很容易；对我却不简单。
Estas dos direcciones son parecidas; siempre las confundo.,这两种地址差不多，我总把它们搞混。
Has confundido otra vez el nombre de mi ciudad.,你又把我城市的名字弄错了。
El profesor me ha suspendido en redacción.,老师在写作方面让我不及格。
Casi un 20% de los alumnos suspendieron en historia.,近 20% 的学生历史不及格。
Decidieron suspender la reunión del club de idiomas.,他们决定暂停语言俱乐部的聚会。
¿Por qué se suspendieron los partidos de fútbol de ayer?,昨天的足球赛为什么被取消了？
El trayecto al trabajo me tarda cuarenta minutos cada día.,每天去上班的路要四十分钟。
En la autopista hay un atasco porque llueve y todos frenan.,高速路堵了，因为下雨大家都在刹车。
"Para ir al centro, viajo en ferrocarril a diario.",去市中心我每天坐火车。
"En la estación, un pasajero me dio un empujón sin querer.",在车站，有个乘客不小心推了我一下。
No seas idiota: mira el semáforo antes de cruzar.,别犯傻：过马路前先看红绿灯。
"Por la cercanía, voy a pie a la universidad cada mañana.",因为离得近，我每天早上步行去大学。
"Tengo varias opciones: metro, bus o bici según el tiempo.",我有好几个选择：看天气坐地铁/公交/骑车。
A esta hora hay mucha congestión y avanzamos muy despacio.,这个时间堵得厉害，我们走得很慢。
Esa vía frente a mi casa siempre está llena de coches.,我家门口那条路经常车很多。
"En la calzada mojada, la fila de coches casi no se mueve.",在湿的车道上，车队几乎不怎么动。
Ese coche particular lo uso solo cuando tengo que ir lejos.,那辆私人车我只在必须去很远的时候用。
Los medios de transporte mencionados en el cartel no paran en mi estación.,海报上提到的那些交通工具在我这站不停。
Hoy es un día festivo y la ciudad se llena de gente.,今天是节假日，城里人特别多。
El transporte ferroviario suele ser más puntual que el autobús.,铁路交通通常比公交更准点。
Pasamos por una carretera elevada para evitar el tráfico del centro.,我们走高架路来避开市中心的拥堵。
El transporte público me va mejor si reviso el horario en la app.,我查了app时刻表后发现公共交通会更好用。
"Con tanta gente, me siento asfixiado en el metro.",人太多了，我在地铁里觉得喘不过气。
Entre todos vamos a solucionar el retraso compartiendo un coche.,大家一起通过拼车来弥补延误。
¿Habéis solucionado el problema del mapa en la ruta de mañana?,你们解决明天路线地图的问题了吗？
El problema consiste en que la salida está cerrada por obras.,问题在于出口因为施工被封了。
Los coches circularon muy despacio por la calzada mojada.,车在湿的车道上行驶得很慢。
En la boda quedó un misterio: quién dejó la nota al novio.,婚礼上留下了一个谜：到底是谁给新郎留了纸条。
Bajé al sótano a buscar cajas de decoración.,我下到地下室去找装饰用的箱子。
Oí unos pasos en el pasillo justo antes de las fotos.,拍照之前我在走廊里听到了脚步声。
"Antes de la ceremonia, un florista recibió un golpe con la escalera.",仪式前，一名花艺师被梯子撞了一下。
"Cuando se rompió el vestido, mi hermana pidió auxilio.",礼服一破，姐姐就赶紧喊人帮忙。
"En el salón había un montón de cosas: mesas, sillas y velas.",婚礼大厅里有一大堆东西：桌椅和蜡烛。
Tengo un compromiso importante: casarme el sábado.,我有个重要的承诺/约定：周六结婚。
El fin de la fiesta llegó con fuegos artificiales.,晚会的结束以烟花收尾。
"Para la boda, cuido mi salud y duermo bien.",为了婚礼，我会好好保重身体，也睡得好。
Mi afición es grabar vídeos para recordar el día.,我的爱好是录视频来纪念这一天。
Hago una investigación de lugares para la luna de miel.,我在查蜜月要去哪些地方。
Al preparar la casa encontramos telarañas en el rincón del balcón.,布置房子时，我们在阳台角落发现了蜘蛛网。
Cierro la cortina para que no entre el sol en las fotos.,我拉上窗帘，挡挡强光，免得待会儿拍照晃眼。
Barro con la escoba los confeti del suelo.,我用扫帚把地上的彩纸扫起来。
El gato se mete en su guarida debajo de la mesa cuando hay mucha gente.,人多的时候，猫会钻进它的窝——桌子下面。
Formamos una pareja y hoy celebramos nuestra boda.,我们成了一对，今天庆祝我们的婚礼。
Soy muy afortunado de casarme contigo.,我很幸运能和你结婚。
Este tema es mi favorito para el primer baile.,这首曲子是我第一支舞的最爱。
Esta canción es su favorita.,这首歌是她最喜欢的。
Mi vecino me ayuda a colgar las luces.,我的邻居帮我挂灯。
Mi vecina prepara pasteles para la fiesta.,我的女邻居给聚会准备蛋糕。
Es muy extraño que el fotógrafo no haya llegado.,摄影师还没到真的很奇怪。
